[] Price fetched: 1,767.15
[] Price fetched: 1,767.15
[2023-03-26T19:09:19+00:00] Price fetched: 1,767.40
[2023-03-26T19:10:02+00:00] Price fetched: 1,767.40
[2023-03-26 19:14:16] Price fetched: 1,767.40
[2023-03-26 19:15:02] Price fetched: 1,767.40
[2023-03-26 19:20:03] Price fetched: 1,768.28
[2023-03-26 19:25:02] Price fetched: 1768.28
[2023-03-26 19:30:03] Price fetched: 1768.27
[2023-03-26 19:35:02] Price fetched: 1768.27
[2023-03-26 19:40:02] Price fetched: 1767.19
[2023-03-26 19:45:02] Price fetched: 1767.19
[2023-03-26 19:50:02] Price fetched: 1766.78
[2023-03-26 19:55:02] Price fetched: 1766.78
[2023-03-26 20:00:03] Price fetched: 1768.45
[2023-03-26 20:05:02] Price fetched: 1768.45
[2023-03-26 20:10:03] Price fetched: 1766.88
[2023-03-26 20:15:02] Price fetched: 1766.88
[2023-03-26 20:20:02] Price fetched: 1769.51
[2023-03-26 20:25:02] Price fetched: 1769.51
[2023-03-26 20:30:03] Price fetched: 1769.51
[2023-03-26 20:35:03] Price fetched: 1769.16
[2023-03-26 20:40:02] Price fetched: 1769.16
[2023-03-26 20:45:02] Price fetched: 1769.16
[2023-03-26 20:50:03] Price fetched: 1769.16
[2023-03-26 20:55:02] Price fetched: 1759.19
[2023-03-26 21:00:03] Price fetched: 1759.19
[2023-03-26 21:05:02] Price fetched: 1759.19
[2023-03-26 21:10:02] Price fetched: 1759.19
[2023-03-26 21:15:04] Price fetched: 1760.51
[2023-03-26 21:20:02] Price fetched: 1760.51
[2023-03-26 21:25:03] Price fetched: 1760.51
[2023-03-26 21:30:03] Price fetched: 1760.22
[2023-03-26 21:35:02] Price fetched: 1760.22
[2023-03-26 21:40:02] Price fetched: 1760.99
[2023-03-26 21:45:02] Price fetched: 1760.99
[2023-03-26 21:50:02] Price fetched: 1762.30
[2023-03-26 21:55:02] Price fetched: 1762.30
[2023-03-26 22:00:02] Price fetched: 1763.08
[2023-03-26 22:05:03] Price fetched: 1763.08
[2023-03-26 22:10:02] Price fetched: 1765.77
[2023-03-26 22:15:02] Price fetched: 1765.77
[2023-03-26 22:20:02] Price fetched: 1767.51
